rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
53,17,Jaylen Waddle,DEN,JAX,1,6.873,10.171,2.781,5.602,15.304,0.091,"23.0-point implied total against a top-3 pass defense by EPA last year. They rank 1st of 32 against the pass in week 1. Projected 4.6 targets, a 16% target share, 71% of the snaps. Last week he had 3 targets, an 11% target share and 75% of the snaps. Range 3-15 around a median of 6, 9% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks. New team.",
54,26,Chris Godwin Jr.,TB,CLE,1,6.85,9.243,2.7,6.043,14.375,0.067,"24.5-point implied total against a top-4 pass defense by EPA last year. They rank 32nd of 32 against the pass in week 1. Projected 4.8 targets, a 13% target share, 74% of the snaps. Last week he had 4 targets, a 15% target share and 86% of the snaps. Range 3-14 around a median of 6, 7% shot at a top-12 week.",
55,61,Devaughn Vele,NO,BAL,0,6.777,6.278,2.619,5.72,13.988,0.028,"19.0-point implied total against 12th-worst pass defense by EPA last year. They rank 4th of 32 against the pass in week 1. Projected 6.7 targets, a 14% target share, 71% of the snaps. Last week he had 9 targets, a 17% target share and 91% of the snaps. Range 3-14 around a median of 6, 3% shot at a top-12 week.",
56,39,Brian Thomas Jr.,JAX,DEN,0,6.705,8.22,2.115,5.73,15.145,0.089,"20.5-point implied total against a top-5 pass defense by EPA last year. They rank 10th of 32 against the pass in week 1. Projected 4.8 targets, a 16% target share, 49% of the snaps. Last week he had 3 targets, a 14% target share and 35% of the snaps. Range 2-15 around a median of 6, 9% shot at a top-12 week.",
57,66,Pat Bryant,DEN,JAX,1,6.468,5.772,2.009,5.704,15.238,0.087,"23.0-point implied total against a top-3 pass defense by EPA last year. They rank 1st of 32 against the pass in week 1. Projected 5.0 targets, a 17% target share, 54% of the snaps. Last week he had 6 targets, a 22% target share and 59% of the snaps. Range 2-15 around a median of 6, 9% shot at a top-12 week.",
58,76,Xavier Hutchinson,HOU,CIN,1,6.394,5.276,2.259,5.32,14.332,0.064,"24.5-point implied total against 5th-worst pass defense by EPA last year. They rank 2nd of 32 against the pass in week 1. Projected 4.8 targets, a 14% target share, 58% of the snaps. Last week he had 6 targets, a 16% target share and 56% of the snaps. Range 2-14 around a median of 5, 6% shot at a top-12 week.",
59,71,DeMario Douglas,NE,PIT,1,6.381,5.596,1.562,5.474,15.454,0.097,"A.J. Brown is out; his work is not yet priced in here. 23.5-point implied total against a mid-pack pass defense last year. They rank 3rd of 32 against the pass in week 1. Projected 4.9 targets, a 17% target share, 48% of the snaps. Last week he had 7 targets, a 23% target share and 62% of the snaps. Range 2-15 around a median of 5, 10% shot at a top-12 week.",
60,59,Dontayvion Wicks,PHI,TEN,0,6.343,6.381,1.875,5.215,14.737,0.068,"23.2-point implied total against 4th-worst pass defense by EPA last year. They rank 28th of 32 against the pass in week 1. Projected 3.8 targets, a 15% target share, 76% of the snaps. Last week he had 4 targets, an 18% target share and 91% of the snaps. Range 2-15 around a median of 5, 7% shot at a top-12 week. New team.",
61,41,Jordan Addison,MIN,CHI,0,6.278,7.917,1.99,5.246,14.505,0.066,"21.5-point implied total against a mid-pack pass defense last year. They rank 22nd of 32 against the pass in week 1. Projected 3.8 targets, a 13% target share, 76% of the snaps. Last week he had 2 targets, a 9% target share and 83% of the snaps. Range 2-15 around a median of 5, 7% shot at a top-12 week.",
62,65,Ryan Flournoy,DAL,WAS,1,6.072,5.773,2.095,4.775,14.628,0.07,"5th-highest implied total (27.0) against 3rd-worst pass defense by EPA last year. They rank 18th of 32 against the pass in week 1. Projected 4.2 targets, a 12% target share, 63% of the snaps. Last week he had 4 targets, a 13% target share and 71% of the snaps. Range 2-15 around a median of 5, 7% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
