seed,position,scoring,season,source,captured_top12,captured_top24_in_top24,set_overlap_topN,pts_top12,regret_per_starter,median_true_finish_of_top12,busts_in_top12,spearman_shared,n_shared,variant
17,WR,ppr,2025,model,1.0,10.0,19.0,129.8,11.450000000000003,37.0,3.0,0.1558169886950377,49,week1
101,QB,qb_4pt,2021,model,5.0,18.0,33.0,245.72,7.006666666666668,17.5,1.0,0.7140021771093618,48,allweeks
101,QB,qb_4pt,2022,model,7.0,17.0,33.0,213.56,5.621666666666665,10.0,2.0,0.6718399170036768,45,allweeks
101,QB,qb_4pt,2023,model,5.0,18.0,32.0,159.82,6.553333333333337,17.5,2.0,0.5711030537175912,45,allweeks
101,QB,qb_4pt,2024,model,7.0,19.0,32.0,207.82,4.730000000000004,11.0,0.0,0.8387621036038667,50,allweeks
101,QB,qb_4pt,2025,model,6.0,18.0,32.0,244.05999999999997,6.663333333333334,12.0,0.0,0.6872481024153395,43,allweeks
101,RB,ppr,2021,model,6.0,15.0,26.0,177.6,6.5,13.0,2.0,0.5815615526717268,48,allweeks
101,RB,ppr,2022,model,4.0,16.0,26.0,192.70000000000002,7.158333333333334,18.5,0.0,0.5948099131277256,46,allweeks
101,RB,ppr,2023,model,5.0,12.0,25.0,175.00000000000003,6.224999999999999,20.0,1.0,0.4204938072816529,49,allweeks
101,RB,ppr,2024,model,4.0,15.0,28.0,195.70000000000002,5.866666666666667,15.5,1.0,0.2906176507238145,41,allweeks
101,RB,ppr,2025,model,6.0,19.0,27.0,197.39999999999998,3.4916666666666694,12.0,1.0,0.5679220226903755,50,allweeks
101,TE,ppr,2021,model,6.0,13.0,25.0,137.1,5.858333333333337,16.5,3.0,0.3617593761859462,50,allweeks
101,TE,ppr,2022,model,5.0,14.0,23.0,106.2,4.841666666666668,14.5,5.0,0.47302489071744913,46,allweeks
101,TE,ppr,2023,model,4.0,10.0,23.0,69.30000000000001,4.6499999999999995,26.0,6.0,0.1786466791107679,45,allweeks
