seed,position,scoring,season,source,captured_top12,captured_top24_in_top24,set_overlap_topN,pts_top12,regret_per_starter,median_true_finish_of_top12,busts_in_top12,spearman_shared,n_shared
101,RB,half_ppr,2022,prior_ppg,3.0,13.0,24.0,171.10000000000002,6.849999999999997,17.5,0.0,0.3235894180471857,43
101,RB,half_ppr,2023,model,4.0,12.0,24.0,144.9,7.23333333333333,29.0,2.0,0.3842698633875031,49
101,RB,half_ppr,2023,consensus,5.0,14.0,27.0,162.80000000000004,5.74166666666666,17.0,1.0,0.5850360559680817,49
101,RB,half_ppr,2023,prior_ppg,6.0,11.0,21.0,184.60000000000002,3.924999999999995,13.0,0.0,0.21829577217086021,45
101,RB,half_ppr,2024,model,4.0,14.0,27.0,183.60000000000005,5.249999999999997,17.5,1.0,0.313938412700191,42
101,RB,half_ppr,2024,consensus,2.0,16.0,27.0,167.90000000000003,6.558333333333333,20.5,1.0,0.36839546312211374,42
101,RB,half_ppr,2024,prior_ppg,4.0,16.0,28.0,178.8,5.650000000000001,18.0,2.0,0.4350891424334863,42
101,RB,half_ppr,2025,model,7.0,17.0,26.0,193.8,2.066666666666665,10.5,0.0,0.659385017049692,49
101,RB,half_ppr,2025,consensus,5.0,16.0,32.0,184.00000000000003,2.8833333333333306,15.5,0.0,0.6934796986341177,49
101,RB,half_ppr,2025,prior_ppg,5.0,16.0,22.0,165.00000000000003,4.466666666666664,15.5,2.0,0.42295126787163334,41
101,RB,ppr,2021,model,6.0,15.0,28.0,184.20000000000002,5.949999999999998,12.5,2.0,0.5963704220931091,49
101,RB,ppr,2021,consensus,5.0,14.0,24.0,159.8,7.983333333333332,26.5,2.0,0.45418534976853314,47
101,RB,ppr,2021,prior_ppg,7.0,13.0,24.0,184.7,5.908333333333334,10.5,2.0,0.3892843325283061,45
101,RB,ppr,2022,model,5.0,15.0,25.0,185.8,7.733333333333334,19.0,0.0,0.5382214220187534,48
101,RB,ppr,2022,consensus,4.0,11.0,23.0,202.29999999999998,6.358333333333337,19.0,0.0,0.3299690796824306,47
101,RB,ppr,2022,prior_ppg,3.0,13.0,22.0,190.10000000000002,7.375,18.5,0.0,0.25656575472420595,44
101,RB,ppr,2023,model,4.0,11.0,26.0,152.0,8.141666666666667,28.5,2.0,0.3534940251303188,48
101,RB,ppr,2023,consensus,5.0,14.0,28.0,182.30000000000004,5.6166666666666645,13.5,0.0,0.5793434652796527,48
101,RB,ppr,2023,prior_ppg,6.0,11.0,21.0,203.10000000000002,3.883333333333333,12.0,0.0,0.2497610853289665,45
101,RB,ppr,2024,model,4.0,15.0,27.0,205.30000000000004,5.0666666666666655,17.0,1.0,0.32852512263463457,42
101,RB,ppr,2024,consensus,2.0,16.0,27.0,183.9,6.850000000000001,20.5,1.0,0.36888168678659516,42
101,RB,ppr,2024,prior_ppg,4.0,16.0,28.0,198.3,5.650000000000001,15.5,2.0,0.4533225298515407,42
101,RB,ppr,2025,model,7.0,19.0,28.0,219.3,1.9083333333333339,11.5,0.0,0.7008552085725969,48
101,RB,ppr,2025,consensus,5.0,16.0,34.0,207.00000000000003,2.9333333333333322,15.0,0.0,0.7142120710849037,48
101,RB,ppr,2025,prior_ppg,5.0,17.0,24.0,184.50000000000003,4.808333333333333,16.5,1.0,0.45621679697459044,41
101,TE,half_ppr,2021,model,7.0,14.0,24.0,125.10000000000001,4.199999999999999,9.5,3.0,0.5148018635646795,51
101,TE,half_ppr,2021,consensus,8.0,14.0,26.0,127.2,4.0249999999999995,8.5,3.0,0.5693355080096985,47
101,TE,half_ppr,2021,prior_ppg,7.0,12.0,23.0,121.9,4.466666666666666,9.0,5.0,0.3320150749510719,46
101,TE,half_ppr,2022,model,6.0,13.0,23.0,78.89999999999999,5.066666666666669,16.5,5.0,0.41725880098137164,48
101,TE,half_ppr,2022,consensus,7.0,13.0,21.0,87.00000000000001,4.391666666666667,11.5,4.0,0.4345868146390211,47
101,TE,half_ppr,2022,prior_ppg,6.0,12.0,21.0,86.00000000000001,4.4750000000000005,15.5,4.0,0.3146462095617377,46
